#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.05	15	0.153339646791	0.9987699877	0.00112780878962
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.05	20	0.153339646791	0.999091459721	0.00055421083355
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.1	5	0.154984731601	0.992952832822	0.00599088710458
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.1	10	0.154984731601	0.996984924623	0.00207570530724
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.1	15	0.154984731601	0.9989936263	0.000874280613753
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.1	20	0.154984731601	0.999848461888	0.000639919992773
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.15	5	0.160368125454	0.991696902037	0.00784870304022
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.15	10	0.160368125454	0.996698722549	0.00228975545598
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.15	15	0.160368125454	0.99854667412	0.00125386054256
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.15	20	0.160368125454	0.999545523406	0.000841400438108
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.2	5	0.162324529832	0.991626543856	0.00851009557124
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.2	10	0.162324529832	0.997629821159	0.00239820385585
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.2	15	0.162324529832	0.998435054773	0.00130376829499
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.2	20	0.162324529832	0.999091459721	0.000725553506029
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.25	5	0.167276007533	0.991524536989	0.0086751535938
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.25	10	0.167276007533	0.997558172939	0.00225480203617
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.25	15	0.167276007533	0.998323460378	0.00119489870584
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.25	20	0.167276007533	0.999242768439	0.000705727673334
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.5	5	0.177755095456	0.991351049731	0.00969668228457
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.5	10	0.177755095456	0.996127366609	0.00275797511208
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.5	15	0.177755095456	0.998212290503	0.00137627882683
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.5	20	0.177755095456	0.998636983189	0.00143505205465
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	1.0	5	0.205739664733	0.988143666771	0.0116728793304
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	1.0	10	0.205739664733	0.995127543709	0.00323646197589
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	1.0	15	0.205739664733	0.998323835065	0.0014401638991
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	1.0	20	0.205739664733	0.998940196821	0.00101845684263
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	2.0	5	0.258929490735	0.984294282842	0.0153357468706
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	2.0	10	0.258929490735	0.99412775709	0.00487039223286
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	2.0	15	0.258929490735	0.998100770864	0.00215017223517
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	2.0	20	0.258929490735	0.99818401937	0.00172391967729
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.0	5	0.212096970043	0.956026806206	0.0842419978896
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.0	10	0.212096970043	0.973120563073	0.0523516899078
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.0	15	0.212096970043	0.979344084073	0.0404757677969
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.0	20	0.212096970043	0.979489744872	0.0401960784314
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.05	5	0.226057658982	0.990180366561	0.0111518849273
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.05	10	0.226057658982	0.996288659794	0.00337453176159
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.05	15	0.226057658982	0.998581308743	0.00185726334516
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.05	20	0.226057658982	0.998653445954	0.00130811745638
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.1	5	0.228859217505	0.989237929029	0.0115977024488
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.1	10	0.228859217505	0.995762213067	0.00308501082697
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.1	15	0.228859217505	0.998050682261	0.00163717090088
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.1	20	0.228859217505	0.999387480093	0.00128956755233
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.15	5	0.235033278393	0.987624912851	0.0126133589283
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.15	10	0.235033278393	0.99429713681	0.00364846218256
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.15	15	0.235033278393	0.998227892965	0.00156499106713
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.15	20	0.235033278393	0.998653775548	0.00114996540957
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.2	5	0.237935124832	0.986559061747	0.0140112449421
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.2	10	0.237935124832	0.994471238678	0.0041061371118
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.2	15	0.237935124832	0.998227578873	0.00194642242288
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.2	20	0.237935124832	0.998531571219	0.0011211683644
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.25	5	0.243200088306	0.985578736616	0.0150688138102
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.25	10	0.243200088306	0.995054750971	0.00457427729719
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.25	15	0.243200088306	0.997874224978	0.00176337811369
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.25	20	0.243200088306	0.998165137615	0.00114293170932
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.5	5	0.257569722314	0.984824304326	0.0174336598561
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.5	10	0.257569722314	0.993890977444	0.00403982003383
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.5	15	0.257569722314	0.997696669029	0.00242110255271
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	0.5	20	0.257569722314	0.998408617946	0.00195518668301
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	1.0	5	0.289692350274	0.982046315303	0.0190922523224
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	1.0	10	0.289692350274	0.992192544761	0.00581901903861
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	1.0	15	0.289692350274	0.997078870497	0.00247587130495
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	1.0	20	0.289692350274	0.997920997921	0.00161705829722
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	2.0	5	0.347589711012	0.975910557861	0.0258499066048
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	2.0	10	0.347589711012	0.989985358712	0.00707515115665
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	2.0	15	0.347589711012	0.995842547545	0.00370011650282
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	70000	2.0	20	0.347589711012	0.997311170863	0.00207022728682
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.0	5	0.279659004262	0.936820257368	0.11885053881
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.0	10	0.279659004262	0.960332003881	0.0763089683774
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.0	15	0.279659004262	0.968569194683	0.0609460278957
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.0	20	0.279659004262	0.970027247956	0.0582010582011
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.05	5	0.298537196479	0.985358295675	0.0161984693846
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.05	10	0.298537196479	0.99411521784	0.00524877050567
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.05	15	0.298537196479	0.997804527216	0.00290550730633
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.05	20	0.298537196479	0.998476074368	0.00144594675769
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.1	5	0.302737760103	0.984386272287	0.0168479915547
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.1	10	0.302737760103	0.993658813219	0.00462236111447
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.1	15	0.302737760103	0.997956557935	0.00248229300176
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.1	20	0.302737760103	0.998373653182	0.00198412322105
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.15	5	0.309693980717	0.982529267979	0.0185069279967
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.15	10	0.309693980717	0.9930977645	0.0048112835868
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.15	15	0.309693980717	0.997277676951	0.00250021002218
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.15	20	0.309693980717	0.998577235772	0.00186037440015
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.2	5	0.313030403286	0.981768623518	0.0198614765372
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.2	10	0.313030403286	0.992323940034	0.00581859269871
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.2	15	0.313030403286	0.997881676502	0.00257961240886
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.2	20	0.313030403286	0.99746218658	0.00185567676424
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.25	5	0.318328719648	0.980652123641	0.0207308385833
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.25	10	0.318328719648	0.993401381586	0.00565091320436
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.25	15	0.318328719648	0.997805524026	0.0028386748809
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.25	20	0.318328719648	0.998070478318	0.00161397823706
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.5	5	0.334716344166	0.979716545137	0.0232465946648
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.5	10	0.334716344166	0.992274412855	0.00654614870503
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.5	15	0.334716344166	0.996899342056	0.00358334563116
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	0.5	20	0.334716344166	0.997968305567	0.00241800393011
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	1.0	5	0.3670010367	0.975558623511	0.0259342066278
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	1.0	10	0.3670010367	0.990181463013	0.00744939678245
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	1.0	15	0.3670010367	0.996147163255	0.00354428847807
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	1.0	20	0.3670010367	0.997361477573	0.00223341138105
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	2.0	5	0.42568002558	0.969689238149	0.0345347350936
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	2.0	10	0.42568002558	0.987639123968	0.00961543194146
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	2.0	15	0.42568002558	0.994641913818	0.00487946859957
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	80000	2.0	20	0.42568002558	0.996956168831	0.00294081255942
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.0	5	0.343362851524	0.916765632261	0.153677487011
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.0	10	0.343362851524	0.949350200128	0.0964161414731
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.0	15	0.343362851524	0.959482273495	0.0778799351001
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.0	20	0.343362851524	0.961302325581	0.0745119111589
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.05	5	0.365192712889	0.979812273006	0.0222474660773
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.05	10	0.365192712889	0.993866754062	0.00590826787148
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.05	15	0.365192712889	0.997233654949	0.00328036952137
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.05	20	0.365192712889	0.998122485472	0.00193861343126
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.1	5	0.371631457517	0.978651368381	0.02258244584
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.1	10	0.371631457517	0.992569051736	0.0058065425172
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.1	15	0.371631457517	0.996964996291	0.00320737054221
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.1	20	0.371631457517	0.998032200358	0.00241416201151
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.15	5	0.376688982848	0.975923405454	0.0249422053606
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.15	10	0.376688982848	0.992340028024	0.00613510173269
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.15	15	0.376688982848	0.996292051507	0.00382348109829
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.15	20	0.376688982848	0.998211731044	0.00227943086551
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.2	5	0.381544839861	0.97544962131	0.0260365462488
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.2	10	0.381544839861	0.991359581524	0.00710012371962
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.2	15	0.381544839861	0.996226415094	0.00356477689589
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.2	20	0.381544839861	0.996963743526	0.00220562689066
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.25	5	0.385844444201	0.973740307808	0.0272460531731
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.25	10	0.385844444201	0.991544821787	0.00732468286549
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.25	15	0.385844444201	0.996225906456	0.0036755769127
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.25	20	0.385844444201	0.997409557838	0.00195954574632
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.5	5	0.404112941245	0.970967741935	0.0304803563743
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.5	10	0.404112941245	0.990711785298	0.00801438362391
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.5	15	0.404112941245	0.996023990835	0.00424544949015
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	0.5	20	0.404112941245	0.997139281244	0.00346206212916
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	1.0	5	0.436229745516	0.966995624244	0.0335464826509
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	1.0	10	0.436229745516	0.988959798761	0.0089026592377
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	1.0	15	0.436229745516	0.995152820789	0.00451453693986
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	1.0	20	0.436229745516	0.997231401268	0.00265051147069
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	2.0	5	0.492200229527	0.960723249977	0.0432557444311
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	2.0	10	0.492200229527	0.985783311652	0.0111664145816
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	2.0	15	0.492200229527	0.9934086629	0.00613470604277
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	90000	2.0	20	0.492200229527	0.996428571429	0.00374021546847
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.0	5	0.39926600734	0.885705476366	0.20514239496
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.0	10	0.39926600734	0.931595797448	0.12804929518
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.0	15	0.39926600734	0.946700985624	0.101203957563
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.0	20	0.39926600734	0.950264550265	0.0947580645161
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.05	5	0.421337621692	0.97619852879	0.0325502140485
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.05	10	0.421337621692	0.991232118136	0.00830048783768
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.05	15	0.421337621692	0.996906235126	0.00444636968086
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.05	20	0.421337621692	0.997368828355	0.00275984360059
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.1	5	0.428968958241	0.974438810931	0.0323939896801
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.1	10	0.428968958241	0.990117252931	0.00819485874205
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.1	15	0.428968958241	0.996729499911	0.00408724395136
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.1	20	0.428968958241	0.997986992877	0.00264101332082
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.15	5	0.433658601177	0.971631354598	0.0354763393178
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.15	10	0.433658601177	0.990578283991	0.00847203291833
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.15	15	0.433658601177	0.995422932889	0.00544444007652
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.15	20	0.433658601177	0.997446413372	0.00291850619654
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.2	5	0.438954788552	0.969821357515	0.0359089040058
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.2	10	0.438954788552	0.98870292887	0.00968136489706
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.2	15	0.438954788552	0.996078897338	0.00448248048319
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.2	20	0.438954788552	0.996983991957	0.00286323374097
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.25	5	0.443377921544	0.969346975499	0.037090708523
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.25	10	0.443377921544	0.988407616656	0.0104847141242
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.25	15	0.443377921544	0.995187451726	0.0054230972165
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.25	20	0.443377921544	0.997061098221	0.00284573160824
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.5	5	0.461933976224	0.964789760053	0.0407183987753
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.5	10	0.461933976224	0.9876728929	0.0105759580808
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.5	15	0.461933976224	0.99548639981	0.00521626366805
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	0.5	20	0.461933976224	0.996364761389	0.00400345348074
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	1.0	5	0.492957875986	0.960533145099	0.0451400840828
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	1.0	10	0.492957875986	0.985280013344	0.0119380994923
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	1.0	15	0.492957875986	0.994661921708	0.00533320363578
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	1.0	20	0.492957875986	0.996136012365	0.00381410591246
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	2.0	5	0.545404747288	0.953862749979	0.0561098836338
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	2.0	10	0.545404747288	0.982073784469	0.0145403547753
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	2.0	15	0.545404747288	0.992827079258	0.00732298140391
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	100000	2.0	20	0.545404747288	0.995366079703	0.00447646898932
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
HGC	8182	10000	0.0	5	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
HGC	8182	10000	0.0	10	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
HGC	8182	10000	0.0	15	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
HGC	8182	10000	0.0	20	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
HGC	8182	10000	0.05	5	9.99900009999e-05	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
HGC	8182	10000	0.05	10	9.99900009999e-05	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
HGC	8182	10000	0.05	15	9.99900009999e-05	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
HGC	8182	10000	0.05	20	9.99900009999e-05	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
HGC	8182	10000	0.1	5	0.0	1.0	0.0
